Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Brands D.,19,59.0,1790,779.0,6.0,7.0,6.0,4.0,3.0,6.0,6.0,3.0,16.0,14.0,3.0,2.0,Completed,3.0,1.36,1.8,2.0,3.0,1.36,2.91,1.47,2.88,1.4,3.05,1.5,2.83,1.42
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Sock J.,Kamke T.,95,78.0,582,651.0,7.0,6.0,5.0,7.0,6.0,2.0,6.0,4.0,,,3.0,1.0,Completed,2.5,1.5,2.3,1.6,2.2,1.62,2.47,1.61,2.25,1.62,2.55,1.64,2.34,1.58
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Murray A.,Soeda G.,4,112.0,5560,498.0,6.0,1.0,6.0,1.0,6.0,3.0,,,,,3.0,0.0,Completed,1.02,17.0,1.01,13.0,1.02,15.0,1.03,20.0,1.02,13.0,1.04,22.0,1.02,14.2
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kokkinakis T.,Sijsling I.,570,73.0,53,681.0,7.0,6.0,0.0,6.0,7.0,6.0,6.0,2.0,,,3.0,1.0,Completed,2.37,1.53,2.45,1.52,2.38,1.53,2.55,1.58,2.5,1.53,2.62,1.62,2.41,1.55
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Granollers M.,36,222.0,1130,215.0,4.0,6.0,4.0,6.0,6.0,3.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,1.16,5.0,1.18,4.5,1.22,4.0,1.2,5.17,1.22,4.0,1.23,5.3,1.19,4.51
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,Harrison R.,32,110.0,1245,504.0,6.0,4.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.11,6.5,1.13,5.5,1.14,5.5,1.15,6.34,1.13,6.0,1.15,7.9,1.12,5.95
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Tomic B.,1,57.0,13130,810.0,6.0,4.0,,,,,,,,,1.0,0.0,Retired,1.04,13.0,1.05,9.0,1.06,9.0,1.06,12.25,1.05,9.0,1.07,13.25,1.05,10.2
ATP,2014,6,Melbourne,Australian Open,2014-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Berdych T.,De Schepper K.,7,86.0,4180,617.0,6.0,4.0,6.0,1.0,6.0,3.0,,,,,3.0,0.0,Completed,1.02,19.0,1.03,11.0,1.03,12.0,,,1.03,11.0,1.04,23.0,1.03,13.19
ATP,2014,6,Melbourne,Australian Open,2014-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Dzumhur D.,Dodig I.,188,34.0,272,1190.0,4.0,6.0,4.0,6.0,6.0,3.0,4.0,1.0,,,1.0,2.0,Retired,5.5,1.14,5.25,1.15,5.0,1.14,5.99,1.17,5.0,1.17,6.0,1.2,5.12,1.16
ATP,2014,6,Melbourne,Australian Open,2014-01-15,Grand Slam,Outdoor,Hard,2nd Round,5,Mayer F.,Youzhny M.,37,15.0,1110,2145.0,6.0,4.0,3.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,2.5,1.5,2.25,1.62,2.25,1.57,2.5,1.6,2.2,1.67,2.6,1.67,2.36,1.57
