Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Savolt A.,12,93,6.0,2.0,7.0,5.0,6.0,4.0,,,,,3,0,Completed,,,1.05,8.5,1.05,7.0,1.03,5.5,1.063,7.5
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Ferreira W.,Nalbandian D.,59,46,6.0,7.0,7.0,6.0,7.0,5.0,6.0,3.0,,,3,1,Completed,,,1.65,2.15,1.67,2.0,1.55,2.0,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Gaudio G.,Clement A.,47,17,6.0,4.0,4.0,6.0,6.0,2.0,7.0,6.0,,,3,1,Completed,,,2.7,1.4,3.3,1.25,2.7,1.3,3.75,1.222
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Golmard J.,Ivanisevic G.,45,13,6.0,3.0,7.0,6.0,5.0,7.0,6.0,4.0,,,3,1,Completed,,,2.0,1.75,1.78,1.85,1.85,1.65,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Gonzalez F.,Robredo T.,140,36,6.0,2.0,6.0,4.0,6.0,4.0,,,,,3,0,Completed,,,,,,,,,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Haas T.,Bachelot J.F,9,255,6.0,1.0,6.0,2.0,6.0,3.0,,,,,3,0,Completed,,,1.06,8.0,1.05,7.0,1.05,5.0,1.05,8.0
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Henman T.,Voltchkov V.,8,128,6.0,3.0,6.0,4.0,6.0,1.0,,,,,3,0,Completed,,,1.12,6.0,1.13,4.65,1.1,4.5,1.111,6.0
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Hrbaty D.,Portas A.,44,20,6.0,1.0,6.0,3.0,6.0,0.0,,,,,3,0,Completed,,,1.53,2.45,1.55,2.2,1.45,2.2,1.615,2.2
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Johansson T.,Hipfl M.,18,75,6.0,4.0,6.0,1.0,6.0,4.0,,,,,3,0,Completed,,,,,1.15,4.4,1.2,3.3,1.2,4.0
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Kim A.,Kafelnikov Y.,234,4,6.0,3.0,7.0,5.0,6.0,3.0,,,,,3,0,Completed,,,7.0,1.08,5.25,1.1,5.0,1.05,6.0,1.1
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Koubek S.,Blake J.,65,70,4.0,6.0,2.0,6.0,6.0,4.0,6.0,1.0,6.0,2.0,3,2,Completed,,,2.85,1.4,2.7,1.37,2.3,1.4,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Lapentti N.,Acasuso J.,27,85,7.0,6.0,6.0,2.0,6.0,3.0,,,,,3,0,Completed,,,1.25,3.75,1.25,3.3,1.2,3.3,1.286,3.25
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Ljubicic I.,Roddick A.,37,15,7.0,6.0,3.0,2.0,,,,,,,1,0,Retired,,,3.5,1.28,3.1,1.29,3.0,1.25,3.2,1.3
