Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
WTA,2023,5,Melbourne,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Bencic B.,Tomova V.,10.0,91.0,2735.0,682.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.05,11.0,1.05,14.58,1.05,14.58,1.04,11.56
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Stefanini L.,Maria T.,141.0,71.0,447.0,834.0,3.0,6.0,7.0,5.0,6.0,4.0,2.0,1.0,Completed,2.3,1.62,2.54,1.56,2.6,1.66,2.42,1.57
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Vekic D.,Selekhmeteva O.,64.0,179.0,906.0,356.0,6.0,2.0,2.0,6.0,7.0,6.0,2.0,1.0,Completed,1.29,3.75,1.32,3.69,1.32,3.8,1.3,3.59
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Begu I.,Mandlik E.,30.0,129.0,1472.0,500.0,3.0,6.0,7.0,6.0,6.0,2.0,2.0,1.0,Completed,1.22,4.33,1.21,4.9,1.23,4.9,1.21,4.4
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Siegemund L.,Bronzetti L.,158.0,52.0,397.0,996.0,2.0,6.0,6.0,4.0,6.0,3.0,2.0,1.0,Completed,2.0,1.8,2.16,1.75,2.17,1.85,2.07,1.76
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Davis L.,Kovinic D.,57.0,55.0,954.0,966.0,1.0,6.0,7.0,5.0,6.0,1.0,2.0,1.0,Completed,1.44,2.75,1.42,3.07,1.44,3.25,1.39,3.01
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Potapova A.,Stephens S.,44.0,36.0,1079.0,1244.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,2.0,1.8,2.09,1.82,2.15,1.82,2.03,1.8
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Linette M.,Sherif M.,45.0,54.0,1060.0,991.0,7.0,5.0,6.0,1.0,,,2.0,0.0,Completed,1.22,4.33,1.24,4.42,1.25,4.8,1.22,4.28
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Vondrousova M.,Riske-Amritraj A.,86.0,49.0,732.0,1013.0,5.0,7.0,6.0,1.0,6.0,4.0,2.0,1.0,Completed,1.2,4.5,1.22,4.85,1.27,4.85,1.21,4.42
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Zhang S.,Tig P.M.,22.0,777.0,1600.0,29.0,6.0,1.0,4.0,6.0,6.0,0.0,2.0,1.0,Completed,1.08,8.0,1.1,7.97,1.11,8.81,1.09,7.52
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Gracheva V.,Kasatkina D.,97.0,8.0,630.0,3500.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,6.0,1.13,7.09,1.13,7.1,1.15,6.46,1.12
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Liu C.,Brengle M.,62.0,72.0,912.0,831.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.62,2.3,1.67,2.32,1.68,2.5,1.63,2.29
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Parrizas Diaz N.,Haddad Maia B.,75.0,14.0,790.0,2255.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,4.5,1.2,4.89,1.21,4.95,1.22,4.58,1.2
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Bucsa C.,Andreescu B.,100.0,43.0,611.0,1121.0,2.0,6.0,7.0,6.0,6.0,4.0,2.0,1.0,Completed,5.0,1.17,6.17,1.15,6.17,1.2,5.29,1.16
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Ostapenko J.,Bondar A.,17.0,81.0,2040.0,756.0,7.0,6.0,5.0,7.0,6.0,0.0,2.0,1.0,Completed,1.2,4.5,1.2,4.98,1.24,5.0,1.2,4.62
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Sakkari M.,Shnaider D.,6.0,106.0,3921.0,593.0,3.0,6.0,7.0,5.0,6.0,3.0,2.0,1.0,Completed,1.17,5.0,1.17,5.53,1.23,5.53,1.18,4.94
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Swiatek I.,Osorio M.,1.0,84.0,11025.0,744.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.04,13.0,1.04,17.5,1.05,17.5,1.03,12.47
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Zhu L.,Teichmann J.,87.0,33.0,724.0,1429.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,2.75,1.44,3.0,1.43,3.01,1.46,2.86,1.43
WTA,2023,5,Melbourne,Australian Open,2023-01-18,Grand Slam,Outdoor,Hard,2nd Round,3,Pegula J.,Sasnovich A.,3.0,38.0,5000.0,1231.0,6.0,2.0,7.0,6.0,,,2.0,0.0,Completed,1.14,5.5,1.15,6.1,1.17,6.4,1.14,5.64
