Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Philippoussis M.,Goldstein P.,25,80,6.0,4.0,6.0,7.0,6.0,0.0,6.0,2.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Pioline C.,Rafter P.,6,24,7.0,6.0,6.0,3.0,6.0,4.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Portas A.,Balcells J.,66,122,4.0,6.0,6.0,3.0,7.0,5.0,6.0,3.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Puerta M.,Clavet F.,26,49,6.0,2.0,6.0,1.0,6.0,3.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Safin M.,Ilie A.,12,38,7.0,5.0,4.0,6.0,5.0,7.0,6.0,3.0,5.0,0.0,2,2,Retired
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Sargsian S.,Clement A.,60,59,6.0,7.0,6.0,3.0,2.0,6.0,6.0,0.0,6.0,4.0,3,2,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Savolt A.,Koubek S.,149,32,3.0,6.0,7.0,5.0,6.0,0.0,5.0,2.0,,,2,1,Retired
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Squillari F.,Vanek J.,45,88,7.0,5.0,6.0,3.0,6.0,7.0,6.0,4.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Stoltenberg J.,Massu N.,81,75,6.0,3.0,6.0,1.0,7.0,5.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Vicente F.,Agenor R.,31,91,6.0,1.0,6.0,0.0,6.0,3.0,,,,,3,0,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Corretja A.,Krajicek R.,10,36,4.0,6.0,6.0,2.0,6.0,3.0,6.0,2.0,,,3,1,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Costa A.,Enqvist T.,18,7,5.0,7.0,7.0,6.0,6.0,1.0,3.0,6.0,6.0,4.0,3,2,Completed
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,El Aynaoui Y.,Stoltenberg J.,15,81,6.0,4.0,5.0,5.0,,,,,,,1,0,Retired
ATP,2000,32,Paris,French Open,2000-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Federer R.,Kratochvil M.,54,120,7.0,6.0,6.0,4.0,2.0,6.0,6.0,7.0,8.0,6.0,3,2,Completed
