Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Andujar P.,8,98.0,3960,942.0,6.0,4.0,6.0,1.0,6.0,1.0,,,,,3.0,0.0,Completed,1.01,15.0,1.02,13.5,1.02,11.0,1.02,13.0,1.01,25.0
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Guccione C.,Devilder N.,132,72.0,706,1142.0,6.0,4.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,1.33,3.25,1.32,3.45,1.333,3.25,1.286,3.25,1.33,3.2
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Gonzalez F.,Hewitt L.,14,70.0,2840,1145.0,5.0,7.0,6.0,2.0,6.0,2.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,2.0,1.72,2.1,1.75,1.833,1.833,2.1,1.667,2.0,1.77
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Gulbis E.,Montanes A.,52,42.0,1438,1574.0,6.0,3.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,Completed,1.1,6.5,1.1,6.75,1.143,5.0,1.143,5.5,1.11,6.2
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Andreev I.,Polansky P.,19,210.0,2490,380.0,5.0,7.0,3.0,6.0,6.0,4.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.07,7.5,1.12,6.35,1.1,6.5,1.1,6.5,1.09,7.0
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,Vassallo-Arguello M.,13,71.0,3010,1144.0,6.0,1.0,6.0,3.0,7.0,5.0,,,,,3.0,0.0,Completed,1.01,13.0,1.04,12.0,1.015,13.0,1.02,11.0,1.03,12.0
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Koubek S.,Youzhny M.,183,40.0,457,1670.0,6.0,3.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,3.75,1.25,4.75,1.2,3.4,1.3,3.25,1.286,4.1,1.22
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,De Chaunac S.,Darcis S.,253,57.0,300,1340.0,2.0,6.0,6.0,3.0,0.0,6.0,6.0,2.0,6.0,2.0,3.0,2.0,Completed,2.62,1.44,2.55,1.5,2.625,1.444,2.625,1.444,2.68,1.45
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Ljubicic I.,Kunitsyn I.,55,43.0,1376,1562.0,4.0,6.0,7.0,6.0,7.0,6.0,5.0,7.0,6.0,3.0,3.0,2.0,Completed,1.53,2.37,1.5,2.55,1.5,2.5,1.5,2.5,1.5,2.52
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Canas G.,Kindlmann D.,77,229.0,1086,337.0,3.0,6.0,7.0,5.0,5.0,7.0,6.0,0.0,7.0,5.0,3.0,2.0,Completed,1.4,2.75,1.49,2.65,1.4,2.75,1.4,2.75,1.48,2.58
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Mannarino A.,15,129.0,2830,726.0,6.0,0.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,1.06,8.0,1.08,7.94,1.083,7.0,1.071,8.0,1.06,8.75
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Clement A.,Stakhovsky S.,89,83.0,980,1011.0,6.0,3.0,2.0,6.0,4.0,6.0,6.0,2.0,6.0,1.0,3.0,2.0,Completed,1.9,1.8,2.0,1.83,1.909,1.8,1.833,1.833,1.94,1.82
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Tsonga J.W.,Monaco J.,7,49.0,3995,1470.0,6.0,4.0,6.0,4.0,6.0,0.0,,,,,3.0,0.0,Completed,1.22,4.0,1.28,3.65,1.25,3.75,1.25,3.5,1.28,3.55
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Berrer M.,Ball C.,134,203.0,684,414.0,6.0,2.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,1.33,3.25,1.38,3.1,1.4,2.75,1.4,2.75,1.4,2.85
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Cipolla F.,Tursunov D.,138,30.0,664,1952.0,4.0,6.0,6.0,2.0,7.0,6.0,7.0,5.0,,,3.0,1.0,Completed,4.33,1.2,4.33,1.22,3.75,1.25,3.5,1.25,3.9,1.24
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Haas T.,Schwank E.,79,54.0,1050,1380.0,6.0,3.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,1.38,2.87,1.36,3.2,1.571,2.25,1.4,2.75,1.37,3.0
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Stepanek R.,Lapentti N.,23,86.0,2360,1004.0,3.0,6.0,6.0,3.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,1.1,6.5,1.12,6.35,1.143,5.0,1.143,5.5,1.1,6.75
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Karanusic R.,Serra F.,92,58.0,974,1339.0,6.0,3.0,1.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,3.75,1.25,3.55,1.3,3.4,1.3,3.25,1.286,3.7,1.26
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Blake J.,Dancevic F.,10,131.0,3550,710.0,6.0,4.0,6.0,3.0,7.0,5.0,,,,,3.0,0.0,Completed,1.14,5.0,1.19,4.76,1.143,5.0,1.222,4.0,1.19,4.5
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Rochus C.,1,75.0,13160,1096.0,6.0,0.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,1.0,34.0,1.01,16.0,1.005,21.0,1.004,26.0,1.01,25.0
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Cilic M.,Tipsarevic J.,20,46.0,2450,1500.0,6.0,2.0,6.0,3.0,4.0,6.0,6.0,3.0,,,3.0,1.0,Completed,1.4,2.75,1.45,2.8,1.4,2.75,1.364,3.0,1.38,3.0
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Ferrer D.,Hrbaty D.,12,251.0,3390,302.0,6.0,2.0,6.0,2.0,6.0,1.0,,,,,3.0,0.0,Completed,1.44,2.62,1.55,2.5,1.533,2.375,1.571,2.375,1.54,2.4
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Safin M.,Garcia-Lopez G.,27,62.0,2050,1232.0,7.0,5.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,1.28,3.5,1.34,3.28,1.286,3.5,1.286,3.5,1.27,3.6
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Delic A.,Mathieu P.H.,127,29.0,728,2000.0,1.0,6.0,3.0,6.0,6.0,3.0,7.0,6.0,7.0,6.0,3.0,2.0,Completed,4.33,1.2,4.33,1.22,4.0,1.222,4.0,1.222,4.35,1.2
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Chardy J.,3,68.0,10650,1163.0,7.0,5.0,6.0,1.0,6.0,3.0,,,,,3.0,0.0,Completed,1.03,11.0,1.07,8.66,1.05,8.5,1.071,8.0,1.05,9.5
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Robredo T.,Troicki V.,22,53.0,2390,1395.0,6.0,1.0,6.0,3.0,6.0,0.0,,,,,3.0,0.0,Completed,1.53,2.37,1.54,2.51,1.533,2.375,1.533,2.5,1.54,2.4
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Berdych T.,Dabul B.,21,100.0,2400,940.0,6.0,1.0,6.0,1.0,6.0,3.0,,,,,3.0,0.0,Completed,1.05,9.0,1.08,7.94,1.071,7.5,1.071,8.0,1.04,10.5
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Wawrinka S.,Klein B.,16,249.0,2670,304.0,6.0,3.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.05,9.0,1.05,8.75,1.05,8.5,1.071,8.0,1.06,9.0
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Korolev E.,2,118.0,10700,808.0,6.0,2.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,Completed,1.0,21.0,1.01,16.0,1.01,17.0,1.004,21.0,1.01,20.0
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Lu Y.H.,Nalbandian D.,61,11.0,1244,3500.0,6.0,4.0,5.0,7.0,4.0,6.0,6.0,4.0,6.0,2.0,3.0,2.0,Completed,11.0,1.03,9.47,1.05,8.0,1.063,9.0,1.05,9.5,1.05
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Fish M.,Bolelli S.,24,39.0,2330,1686.0,6.0,4.0,6.0,1.0,7.0,5.0,,,,,3.0,0.0,Completed,1.53,2.37,1.65,2.2,1.615,2.2,1.615,2.25,1.6,2.28
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Baghdatis M.,Soderling R.,97,17.0,950,2650.0,3.0,6.0,7.0,5.0,6.0,3.0,6.0,3.0,,,3.0,1.0,Completed,2.25,1.57,2.2,1.65,2.25,1.571,2.2,1.667,2.3,1.6
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Santoro F.,Kohlschreiber P.,60,34.0,1268,1855.0,5.0,7.0,7.0,5.0,3.0,6.0,7.0,5.0,6.0,3.0,3.0,2.0,Completed,4.0,1.22,4.05,1.25,4.0,1.222,4.333,1.2,4.0,1.23
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Del Potro J.M.,Mayer F.,6,450.0,4060,127.0,6.0,1.0,7.0,5.0,6.0,2.0,,,,,3.0,0.0,Completed,1.01,13.0,1.05,9.5,1.05,8.5,1.05,9.0,1.03,12.0
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Roddick A.,Malisse X.,9,195.0,3940,428.0,4.0,6.0,6.0,2.0,7.0,6.0,6.0,2.0,,,3.0,1.0,Completed,1.08,7.0,1.13,5.95,1.111,6.0,1.1,6.5,1.12,6.0
ATP,2009,6,Melbourne,Australian Open,2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Muller G.,Tomic B.,87,768.0,988,42.0,3.0,6.0,6.0,1.0,6.0,4.0,6.0,2.0,,,3.0,1.0,Completed,1.2,4.33,1.25,3.95,1.25,3.75,1.286,3.5,1.2,4.3
ATP,2009,6,Melbourne,Australian Open,2009-01-22,Grand Slam,Outdoor,Hard,2nd Round,5,Gonzalez F.,Canas G.,14,77.0,2840,1086.0,7.0,5.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,1.2,4.33,1.21,4.75,1.2,4.333,1.25,3.75,1.23,4.0
